"classe","roll_belt","pitch_belt","yaw_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z"
"A",1.41,8.07,-94.4,0.02,0,-0.02,-22,4,22,-7,608,-311,-128,22.5,-161,0.02,-0.02,-0.02,-290,110,-125,-369,337,513,13.13073959,-70.63750507,-84.71064711,0,-0.02,0,-233,47,-269,-555,296,-64,28.3,-63.9,-153,0.02,0,-0.02,192,203,-216,-18,661,473
"A",1.42,8.07,-94.4,0,0,-0.02,-20,5,23,-2,600,-305,-128,22.5,-161,0.02,-0.02,-0.02,-289,110,-126,-368,344,513,12.85074981,-70.27811982,-85.14078134,0,-0.02,0,-232,46,-270,-561,298,-63,28.3,-63.9,-152,0.03,-0.02,0,196,204,-213,-18,658,469
"A",1.48,8.05,-94.4,0.02,0,-0.03,-22,3,21,-6,604,-310,-128,22.1,-161,0.02,-0.03,0.02,-289,111,-123,-372,344,512,13.43119971,-70.39379464,-84.87362553,0,-0.02,-0.02,-232,48,-269,-552,303,-60,28.1,-63.9,-152,0.02,-0.02,0,189,206,-214,-16,658,469
"A",1.42,8.09,-94.4,0.02,0,-0.02,-22,3,21,-4,599,-311,-128,21.9,-161,0,-0.03,0,-289,111,-125,-373,336,509,13.12694911,-70.24756905,-85.09961258,0,-0.02,0,-232,47,-270,-551,295,-70,27.9,-63.9,-152,0.02,0,-0.02,195,205,-215,-18,659,470
"A",1.42,8.13,-94.4,0.02,0,-0.02,-22,4,21,-2,603,-313,-128,21.8,-161,0.02,-0.02,0,-289,111,-124,-372,338,510,12.75083041,-70.34768359,-85.09708174,0,-0.02,0,-234,46,-272,-555,300,-74,27.8,-63.8,-152,0.02,-0.02,0,193,205,-213,-9,660,474
"A",1.43,8.18,-94.4,0.02,0,-0.02,-22,2,23,-2,602,-319,-128,21.5,-161,0.02,-0.03,0,-288,111,-123,-363,343,520,13.10320545,-70.45974712,-84.89472246,0,-0.02,0,-233,47,-270,-554,291,-65,27.5,-63.8,-152,0.02,0.02,-0.03,191,203,-215,-11,657,478
"A",1.42,8.21,-94.4,0.02,0,-0.02,-22,4,21,-8,598,-310,-128,21.4,-161,0.02,0,-0.03,-288,111,-124,-371,331,523,13.41047767,-70.99594236,-84.28004856,0.02,-0.02,-0.02,-234,48,-268,-554,295,-68,27.2,-63.9,-151,0,-0.02,-0.03,193,202,-214,-14,659,478
"A",1.51,8.12,-94.4,0,0,-0.02,-21,4,22,-6,598,-317,-129,21.3,-161,0.02,0,-0.02,-289,110,-122,-371,337,512,13.04835112,-70.10639112,-85.26057697,0,-0.02,0,-233,47,-272,-551,296,-56,27.1,-64,-151,0.02,-0.02,0,192,204,-213,-13,653,481
"A",1.59,8.07,-94.4,0.02,0,-0.02,-22,5,22,-1,604,-314,-129,21.1,-161,0.02,-0.02,-0.02,-289,109,-125,-373,335,514,12.75083041,-70.34768359,-85.09708174,0,-0.02,0,-234,46,-272,-558,302,-66,26.9,-64,-151,0.02,-0.02,0,193,205,-215,-9,657,480
"A",1.57,8.09,-94.4,0.02,0.02,-0.02,-21,3,21,-2,604,-313,-129,20.8,-161,0.03,-0.02,-0.02,-289,111,-123,-372,338,510,13.37871611,-70.42855971,-84.85305745,0,-0.02,0,-233,48,-270,-554,301,-65,27,-63.9,-151,0.02,-0.03,-0.02,191,206,-213,-17,654,478
