"mpg","wt","qsec","am","mpg_estimated","residuals"
21,2.62,16.46,1,22.47,-1.47
21,2.875,17.02,1,22.158,-1.158
22.8,2.32,18.61,1,26.281,-3.481
21.4,3.215,19.44,0,20.857,0.543
18.7,3.44,17.02,0,17.01,1.69
18.1,3.46,20.22,0,20.854,-2.754
14.3,3.57,15.84,0,15.054,-0.754
24.4,3.19,20,0,21.642,2.758
22.8,3.15,22.9,0,25.354,-2.554
19.2,3.44,18.3,0,18.579,0.621
17.8,3.44,18.9,0,19.314,-1.514
16.4,4.07,17.4,0,15.008,1.392
17.3,3.73,17.6,0,16.585,0.715
15.2,3.78,18,0,16.879,-1.679
10.4,5.25,17.98,0,11.098,-0.698
10.4,5.424,17.82,0,10.22,0.18
14.7,5.345,17.42,0,10.039,4.661
32.4,2.2,19.47,1,27.805,4.595
30.4,1.615,18.52,1,28.932,1.468
33.9,1.835,19.9,1,29.762,4.138
21.5,2.465,20.01,0,24.494,-2.994
15.5,3.52,16.87,0,16.512,-1.012
15.2,3.435,17.3,0,17.372,-2.172
13.3,3.84,15.41,0,13.469,-0.169
19.2,3.845,17.05,0,15.46,3.74
27.3,1.935,18.9,1,28.144,-0.844
26,2.14,16.7,1,24.645,1.355
30.4,1.513,16.9,1,27.345,3.055
15.8,3.17,14.5,1,17.914,-2.114
19.7,2.77,15.5,1,20.706,-1.006
15,3.57,14.6,1,16.47,-1.47
21.4,2.78,18.6,1,24.467,-3.067
