"Variable","Intercept_Beta0","Slope_Beta1","R^2","Adjusted_R2","Correlation","Sigma"
"wt",37.285,-5.344,0.753,0.745,-0.868,3.046
"cyl",37.885,-2.876,0.726,0.717,-0.852,3.206
"disp",29.6,-0.041,0.718,0.709,-0.848,3.251
"hp",30.099,-0.068,0.602,0.589,-0.776,3.863
"drat",-7.525,7.678,0.464,0.446,0.681,4.485
"vs",16.617,7.94,0.441,0.422,0.664,4.581
"am",17.147,7.245,0.36,0.338,0.6,4.902
"carb",25.872,-2.056,0.304,0.28,-0.551,5.113
"gear",5.623,3.923,0.231,0.205,0.48,5.374
"qsec",-5.114,1.412,0.175,0.148,0.419,5.564
