"day"	"interval"	"steps"
1	0	NA
1	5	NA
1	10	NA
1	15	NA
1	20	NA
1	25	NA
1	30	NA
1	35	NA
1	40	NA
1	45	NA
1	50	NA
1	55	NA
1	100	NA
1	105	NA
1	110	NA
1	115	NA
1	120	NA
1	125	NA
1	130	NA
1	135	NA
1	140	NA
1	145	NA
1	150	NA
1	155	NA
1	200	NA
1	205	NA
1	210	NA
1	215	NA
1	220	NA
1	225	NA
1	230	NA
1	235	NA
1	240	NA
1	245	NA
1	250	NA
1	255	NA
1	300	NA
1	305	NA
1	310	NA
1	315	NA
1	320	NA
1	325	NA
1	330	NA
1	335	NA
1	340	NA
1	345	NA
1	350	NA
1	355	NA
1	400	NA
1	405	NA
1	410	NA
1	415	NA
1	420	NA
1	425	NA
1	430	NA
1	435	NA
1	440	NA
1	445	NA
1	450	NA
1	455	NA
1	500	NA
1	505	NA
1	510	NA
1	515	NA
1	520	NA
1	525	NA
1	530	NA
1	535	NA
1	540	NA
1	545	NA
1	550	NA
1	555	NA
1	600	NA
1	605	NA
1	610	NA
1	615	NA
1	620	NA
1	625	NA
1	630	NA
1	635	NA
1	640	NA
1	645	NA
1	650	NA
1	655	NA
1	700	NA
1	705	NA
1	710	NA
1	715	NA
1	720	NA
1	725	NA
1	730	NA
1	735	NA
1	740	NA
1	745	NA
1	750	NA
1	755	NA
1	800	NA
1	805	NA
1	810	NA
1	815	NA
1	820	NA
1	825	NA
1	830	NA
1	835	NA
1	840	NA
1	845	NA
1	850	NA
1	855	NA
1	900	NA
1	905	NA
1	910	NA
1	915	NA
1	920	NA
1	925	NA
1	930	NA
1	935	NA
1	940	NA
1	945	NA
1	950	NA
1	955	NA
1	1000	NA
1	1005	NA
1	1010	NA
1	1015	NA
1	1020	NA
1	1025	NA
1	1030	NA
1	1035	NA
1	1040	NA
1	1045	NA
1	1050	NA
1	1055	NA
1	1100	NA
1	1105	NA
1	1110	NA
1	1115	NA
1	1120	NA
1	1125	NA
1	1130	NA
1	1135	NA
1	1140	NA
1	1145	NA
1	1150	NA
1	1155	NA
1	1200	NA
1	1205	NA
1	1210	NA
1	1215	NA
1	1220	NA
1	1225	NA
1	1230	NA
1	1235	NA
1	1240	NA
1	1245	NA
1	1250	NA
1	1255	NA
1	1300	NA
1	1305	NA
1	1310	NA
1	1315	NA
1	1320	NA
1	1325	NA
1	1330	NA
1	1335	NA
1	1340	NA
1	1345	NA
1	1350	NA
1	1355	NA
1	1400	NA
1	1405	NA
1	1410	NA
1	1415	NA
1	1420	NA
1	1425	NA
1	1430	NA
1	1435	NA
1	1440	NA
1	1445	NA
1	1450	NA
1	1455	NA
1	1500	NA
1	1505	NA
1	1510	NA
1	1515	NA
1	1520	NA
1	1525	NA
1	1530	NA
1	1535	NA
1	1540	NA
1	1545	NA
1	1550	NA
1	1555	NA
1	1600	NA
1	1605	NA
1	1610	NA
1	1615	NA
1	1620	NA
1	1625	NA
1	1630	NA
1	1635	NA
1	1640	NA
1	1645	NA
1	1650	NA
1	1655	NA
1	1700	NA
1	1705	NA
1	1710	NA
1	1715	NA
1	1720	NA
1	1725	NA
1	1730	NA
1	1735	NA
1	1740	NA
1	1745	NA
1	1750	NA
1	1755	NA
1	1800	NA
1	1805	NA
1	1810	NA
1	1815	NA
1	1820	NA
1	1825	NA
1	1830	NA
1	1835	NA
1	1840	NA
1	1845	NA
1	1850	NA
1	1855	NA
1	1900	NA
1	1905	NA
1	1910	NA
1	1915	NA
1	1920	NA
1	1925	NA
1	1930	NA
1	1935	NA
1	1940	NA
1	1945	NA
1	1950	NA
1	1955	NA
1	2000	NA
1	2005	NA
1	2010	NA
1	2015	NA
1	2020	NA
1	2025	NA
1	2030	NA
1	2035	NA
1	2040	NA
1	2045	NA
1	2050	NA
1	2055	NA
1	2100	NA
1	2105	NA
1	2110	NA
1	2115	NA
1	2120	NA
1	2125	NA
1	2130	NA
1	2135	NA
1	2140	NA
1	2145	NA
1	2150	NA
1	2155	NA
1	2200	NA
1	2205	NA
1	2210	NA
1	2215	NA
1	2220	NA
1	2225	NA
1	2230	NA
1	2235	NA
1	2240	NA
1	2245	NA
1	2250	NA
1	2255	NA
1	2300	NA
1	2305	NA
1	2310	NA
1	2315	NA
1	2320	NA
1	2325	NA
1	2330	NA
1	2335	NA
1	2340	NA
1	2345	NA
1	2350	NA
1	2355	NA
2	0	0
2	5	0
2	10	0
2	15	0
2	20	0
2	25	0
2	30	0
2	35	0
2	40	0
2	45	0
2	50	0
2	55	0
2	100	0
2	105	0
2	110	0
2	115	0
2	120	0
2	125	0
2	130	0
2	135	0
2	140	0
2	145	0
2	150	0
2	155	0
2	200	0
2	205	0
2	210	0
2	215	0
2	220	0
2	225	0
2	230	0
2	235	0
2	240	0
2	245	0
2	250	0
2	255	0
2	300	0
2	305	0
2	310	0
2	315	0
2	320	0
2	325	0
2	330	0
2	335	0
2	340	0
2	345	0
2	350	0
2	355	0
2	400	0
2	405	0
2	410	0
2	415	0
2	420	0
2	425	0
2	430	0
2	435	0
2	440	0
2	445	0
2	450	0
2	455	0
2	500	0
2	505	0
2	510	0
2	515	0
2	520	0
2	525	0
2	530	0
2	535	0
2	540	0
2	545	0
2	550	0
2	555	0
2	600	0
2	605	0
2	610	0
2	615	0
2	620	0
2	625	0
2	630	0
2	635	0
2	640	0
2	645	0
2	650	0
