"EVTYPE","FATALITIES","INJURIES","Total_Prop_Damages_MUSD","Total_Crop_Damages_MUSD","Total_Damages_BUSD"
"FLOOD",470,6789,144657.709807,5661.96845,150.319678257
"HURRICANE/TYPHOON",64,1275,69305.84,2607.8728,71.9137128
"TORNADO",5633,91346,56937.1607787,414.95327,57.3521140487
"HAIL",15,1361,15732.2675427,3025.954473,18.7582220157
"FLASH FLOOD",978,1777,16140.8120671,1421.3171,17.5621291671
"DROUGHT",0,4,1046.106,13972.566,15.018672
"ICE STORM",89,1975,3944.92786,5022.1135,8.96704136
"TROPICAL STORM",58,340,7703.89055,678.346,8.38223655
"WINTER STORM",206,1321,6688.497251,26.944,6.715441251
"HIGH WIND",248,1137,5270.046295,638.5713,5.908617595
"WILDFIRE",75,911,4765.114,295.4728,5.0605868
"THUNDERSTORM WIND",133,1488,3483.121284,414.84305,3.897964334
"HEAVY RAIN",98,251,694.24809,733.3998,1.42764789
"FROST/FREEZE",0,0,9.48,1094.086,1.103566
"HEAVY SNOW",127,1021,932.5891417,134.6531,1.0672422417
"LIGHTNING",816,5230,928.6594467,12.09209,0.9407515367
"BLIZZARD",101,805,659.21395,112.06,0.77127395
"EXCESSIVE HEAT",1903,6525,7.7537,492.402,0.5001557
"HEAT",937,2100,1.797,401.4615,0.4032585
"STRONG WIND",103,280,175.24145,64.9535,0.24019495
"COASTAL FLOOD",3,2,237.66556,0,0.23766556
"TSUNAMI",33,129,144.062,0.02,0.144082
"HIGH SURF",101,152,89.575,0,0.089575
"WINTER WEATHER",33,398,20.866,15,0.035866
"SNOW",5,29,14.76255,0.01,0.01477255
"DENSE FOG",18,342,9.674,0,0.009674
"WATERSPOUT",3,29,9.3537,0,0.0093537
"WIND",23,86,8.6845,0.3,0.0089845
"EXTREME COLD/WIND CHILL",125,24,8.648,0.05,0.008698
"DUST STORM",22,440,5.549,3.1,0.008649
"LAKESHORE FLOOD",0,0,7.54,0,0.00754
"AVALANCHE",224,170,3.7218,0,0.0037218
"COLD/WIND CHILL",95,12,1.99,0.6,0.00259
"FREEZING FOG",0,0,2.182,0,0.002182
"TROPICAL DEPRESSION",0,0,1.737,0,0.001737
"MARINE HIGH WIND",1,1,1.29701,0,0.00129701
"SEICHE",0,0,0.98,0,0.00098
"DUST DEVIL",2,42,0.70033,0,0.00070033
"VOLCANIC ASH",0,0,0.5,0,0.0005
"MARINE STRONG WIND",14,22,0.41833,0,0.00041833
"ASTRONOMICAL LOW TIDE",0,0,0.32,0,0.00032
"FUNNEL CLOUD",0,3,0.1946,0,0.0001946
"DENSE SMOKE",0,0,0.1,0,0.0001
"MARINE HAIL",0,0,0.004,0,4e-06
"RIP CURRENT",368,232,0.001,0,1e-06
"SLEET",2,0,0,0,0
